,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
241,安克创新科技股份有限公司,Anker,500-2000人,不需要融资,南山区,android开发工程师,3-5年,本科,14k-26k,多元化团队 扁平化组织,智能硬件,开发|测试|运维类,"股票期权,带薪年假,定期体检,年底多薪",移动前端开发,深圳
242,北京多来点信息技术有限公司,哗啦啦,500-2000人,B轮,西城区,android高级开发工程师,3-5年,本科,25k-40k,团队活力,软件服务｜咨询,开发|测试|运维类,"技能培训,岗位晋升,领导好,带薪年假",移动前端开发,北京
243,杭州同花顺数据开发有限公司,同花顺,2000人以上,上市公司,余杭区,android开发工程师,3-5年,本科,18k-35k,"免费午晚餐,免费班车,五险一金,投资交流",科技金融,开发|测试|运维类,"带薪年假,定期体检,免费班车,领导好",移动前端开发,杭州
244,深圳品和智慧科技有限公司武汉分公司,品和智慧,15-50人,未融资,东湖新技术开发区,移动端开发工程师,1-3年,本科,11k-20k,入职五险一金，周末双休，弹性打卡,"移动互联网,电商",开发|测试|运维类,"弹性工作,扁平管理,五险一金,节日礼物",移动前端开发,武汉
245,江苏岐凤科技有限公司,岐凤科技,15-50人,不需要融资,嘉定区,android开发工程师,5-10年,本科,20k-30k,年底双薪,IT技术服务｜咨询,开发|测试|运维类,,移动前端开发,上海
246,快手阿修信息科技（上海）有限公司,快手阿修,50-150人,不需要融资,杨浦区,Android开发工程师,不限,大专,12k-18k,技术驱动，引领业务变革,移动互联网,开发|测试|运维类,"技能培训,带薪年假,绩效奖金,岗位晋升",移动前端开发,上海
247,北京华图宏阳网络科技有限公司,华图在线,150-500人,D轮及以上,海淀区,高级android开发工程师,3-5年,本科,18k-25k,加班可调休，带薪年假,在线教育,开发|测试|运维类,"绩效奖金,五险一金,通讯津贴,带薪年假",移动前端开发,北京
248,江苏岐凤科技有限公司,岐凤科技,15-50人,不需要融资,嘉定区,android开发工程师,3-5年,本科,13k-20k,年底双薪 周末双休 节日礼品,IT技术服务｜咨询,开发|测试|运维类,,移动前端开发,上海
249,江苏天鼎证券投资咨询有限公司,江苏天鼎证券投资咨询有限公司,150-500人,不需要融资,,安卓开发工程师,3-5年,大专,12k-15k,公司平台大，技术团队成熟,金融,开发|测试|运维类,,移动前端开发,南京
250,北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Android,1-3年,本科,15k-25k,五险一金,在线教育,开发|测试|运维类,"节日礼物,技能培训,节日礼品卡,月度团建",移动前端开发,北京
251,上海陟明信息技术有限责任公司,陟明信息技术有限公司,150-500人,未融资,杨浦区,android开发工程师,3-5年,本科,18k-22k,轻松的工作氛围，稳定的晋升通道,专业服务｜咨询,开发|测试|运维类,"年底双薪,带薪年假,交通补助,通讯津贴",移动前端开发,上海
252,深圳市方直科技股份有限公司,方直科技,150-500人,上市公司,南山区,Android开发工程师,3-5年,本科,16k-28k,上市公司 弹性工作 氛围轻松,工具类产品,开发|测试|运维类,"技能培训,年底双薪,节日礼物,绩效奖金",移动前端开发,深圳
253,北京智颖网络科技有限公司,智颖网络,50-150人,未融资,东城区,android开发工程师,3-5年,本科,15k-25k,技术大牛 领导nice,数据服务｜咨询,开发|测试|运维类,"带薪年假,绩效奖金,午餐补助,通讯津贴",移动前端开发,北京
254,易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,雨花台区,Android开发工程师,3-5年,大专,15k-26k,五险一金加班补助定期体检免费班车项目奖金,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,移动前端开发,南京
255,深圳市酷开网络科技股份有限公司,酷开网络,500-2000人,D轮及以上,宝安区,android高级开发工程师,3-5年,本科,15k-30k,公司即将上市 福利待遇优厚,软件服务｜咨询,开发|测试|运维类,"五险一金,年终奖金,绩效奖金,带薪年假",移动前端开发,深圳
256,上海贝海网络科技有限公司,贝海网络,500-2000人,C轮,普陀区,android开发工程师,5-10年,本科,15k-30k,团队氛围好、外企、福利待遇好,电商平台,开发|测试|运维类,,移动前端开发,上海
257,深圳市思迪信息技术股份有限公司,思迪信息,500-2000人,未融资,南山区,android开发工程师,3-5年,本科,15k-25k,发展前景、技术大牛、福利待遇,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"定期体检,带薪年假,带薪病假,弹性工作",移动前端开发,深圳
258,广州维梦科技有限公司,维梦科技,50-150人,不需要融资,西湖区,高级android开发工程师,3-5年,本科,20k-30k,大牛团队 六险一金 okr管理,工具类产品,开发|测试|运维类,"年终分红,定期体检,股票期权,带薪年假",移动前端开发,杭州
259,北京沐融信息科技股份有限公司,沐融科技,500-2000人,C轮,海淀区,android开发工程师,3-5年,本科,12k-18k,五险一金 交补 话补 笔记本补贴,科技金融,开发|测试|运维类,"年底双薪,通讯津贴,带薪年假,交通补助",移动前端开发,北京
260,万翼科技有限公司,万科,2000人以上,上市公司,南山区,移动端开发工程师,3-5年,本科,15k-30k,世界500强 优秀的团队 发展空间大,房地产｜建筑｜物业,开发|测试|运维类,"绩效奖金,岗位晋升,管理规范,通讯津贴",移动前端开发,深圳
261,深圳市晨北科技有限公司,深圳市晨北科技有限公司,500-2000人,上市公司,南山区,Android开发工程师,3-5年,本科,15k-20k,"弹性工作,节日福利,定期体检,7险1金",智能硬件,开发|测试|运维类,"节日礼物,带薪年假,年度旅游,岗位晋升",移动前端开发,深圳
262,泰康资产管理有限责任公司,泰康资产,500-2000人,不需要融资,西城区,移动端开发工程师,5-10年,本科,35k-55k,大平台、发展空间大、管理规范、福利待遇佳,科技金融,开发|测试|运维类,"技能培训,带薪年假,绩效奖金,定期体检",移动前端开发,北京
263,深圳市三个六科技有限公司,三个六,15-50人,未融资,南山区,android高级开发工程师,3-5年,大专,15k-25k,高级安卓开发 android高级开发,IT技术服务｜咨询,开发|测试|运维类,,移动前端开发,深圳
264,上海冠翊软件科技有限公司,冠翊软件,150-500人,未融资,,安卓开发工程师,3-5年,本科,15k-20k,外资电商 965 年节福利 补充商务医保,"数据服务｜咨询,软件服务｜咨询",开发|测试|运维类,,移动前端开发,上海
265,上海申米信息技术有限公司,申米信息,50-150人,不需要融资,高新技术产业开发区,Android开发工程师,3-5年,本科,10k-15k,"领导好,空间大,氛围好,年终奖",营销服务｜咨询,开发|测试|运维类,"带薪年假,年底双薪,节日礼物,领导好",移动前端开发,西安
266,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,资深android开发工程师,1-3年,本科,15k-30k,好玩儿，物联网,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,杭州
267,广东各有所爱信息科技有限公司,各有所爱信息科技,50-150人,未融资,番禺区,android开发工程师,5-10年,本科,15k-20k,重点项目 环境好 福利好,电商平台,开发|测试|运维类,"五险一金,地铁口,股票期权,年终分红",移动前端开发,广州
268,成都国美大数据科技有限公司,成都国美大数据,150-500人,不需要融资,高新区,android开发工程师,3-5年,本科,10k-15k,大平台 绩效奖,电商平台,开发|测试|运维类,"年底双薪,带薪年假,绩效奖金,美女多",移动前端开发,成都
269,上海小讯鸽网络科技有限公司,小讯鸽,150-500人,不需要融资,徐汇区,移动端开发工程师,5-10年,本科,15k-25k,公司发展稳定潜力大,软件服务｜咨询,开发|测试|运维类,,移动前端开发,上海
270,彩讯科技股份有限公司,彩讯股份,500-2000人,上市公司,南山区,Android开发工程师,1-3年,本科,10k-18k,"地铁周边,平台大",软件服务｜咨询,开发|测试|运维类,"节日礼物,技能培训,年度旅游,岗位晋升",移动前端开发,深圳
