,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
357,高济（天津）投资有限公司,高济医疗,150-500人,不需要融资,东城区,算法工程师,3-5年,本科,25k-35k,"bat大牛,平台好,领导好",专业服务｜咨询,开发|测试|运维类,"绩效奖金,通讯津贴,定期体检,带薪年假",人工智能,北京
358,杭州菲助科技有限公司,英语趣配音,150-500人,B轮,滨江区,算法工程师,1-3年,本科,15k-25k,扁平化管理 弹性工作 股票期权,"在线教育,内容社区",开发|测试|运维类,"技能培训,节日礼物,股票期权,专项奖金",人工智能,杭州
359,深圳市迷你玩科技有限公司,迷你玩,500-2000人,B轮,南山区,大数据算法工程师,3-5年,本科,15k-25k,.,"游戏,在线教育",开发|测试|运维类,,数据开发,深圳
360,上海阅文信息技术有限公司,阅文集团,500-2000人,上市公司,浦东新区,深度学习（图像识别）高级算法研发工程师,3-5年,硕士,25k-50k,优秀团队，带薪年假，定期团建,内容社区,开发|测试|运维类,"年底双薪,五险一金,带薪年假,定期体检",人工智能,上海
361,杭州火烧云科技有限公司,婚礼纪,500-2000人,D轮及以上,西湖区,算法工程师,1-3年,本科,15k-30k,双休、六险一金、餐补、领导nice,生活服务,开发|测试|运维类,"六险一金,快乐高效文化,绩效奖金,信任",人工智能,杭州
362,上海明品医学数据科技有限公司,大专家.COM,150-500人,A轮,松江区,算法工程师,1-3年,硕士,10k-20k,成长氛围好，院士带队参与高校联合研究,在线医疗,开发|测试|运维类,"扁平管理,领导好,节日礼物,五险一金",人工智能,上海
363,江西高创保安服务技术有限公司,高创保安,50-150人,B轮,江干区,算法工程师,1-3年,本科,10k-20k,年终奖 五险一金 节日福利 牛人团队,信息安全,开发|测试|运维类,,人工智能,杭州
364,上海品上生活网络科技有限公司,清美/品上生活,15-50人,未融资,浦东新区,算法工程师,5-10年,本科,25k-50k,"领导Nice,发展空间大,五险一金,免费午餐",新零售,开发|测试|运维类,,人工智能,上海
365,杭州火烧云科技有限公司,婚礼纪,500-2000人,D轮及以上,西湖区,算法工程师,1-3年,本科,15k-30k,六险一金 结婚礼包,生活服务,开发|测试|运维类,"六险一金,快乐高效文化,绩效奖金,信任",人工智能,杭州
366,深圳市麦谷科技有限公司,深圳市麦谷科技有限公司,50-150人,A轮,南山区,视觉算法工程师,3-5年,本科,15k-25k,项目奖金，年度奖金,"移动互联网,数据服务",开发|测试|运维类,"绩效奖金,年底双薪,带薪年假,年度旅游",人工智能,深圳
367,深圳市富元网络科技有限公司,富元证券,50-150人,不需要融资,南山区,nlp算法工程师,3-5年,本科,20k-30k,"互联网证券,活动丰富,五险一金，周末双休",科技金融,开发|测试|运维类,,人工智能,深圳
368,上海硕核智能科技有限公司,硕核智能,少于15人,未融资,浦东新区,深度学习算法工程师,1-3年,硕士,20k-25k,发展空间大，氛围活跃,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"带薪年假,弹性工作,节日礼物,岗位晋升",人工智能,上海
369,上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,浦东新区,算法工程师,3-5年,不限,20k-40k,"带薪年假,技术大牛,大牛多多,周末双休",音频｜视频媒体,开发|测试|运维类,"明星直播,男女1:1,带薪年假,扁平管理",数据开发,上海
370,星测未来科技（北京）有限责任公司,星测未来,15-50人,天使轮,海淀区,AI芯片算法工程师,不限,本科,20k-40k,牛人带队 公司氛围好,"智能硬件,制造业,人工智能服务",开发|测试|运维类,,人工智能,北京
371,维沃移动通信有限公司,vivo,2000人以上,不需要融资,朝阳区,广告算法策略工程师（北京）,3-5年,本科,25k-50k,竞争力的薪酬 带薪年假 股票期权,智能硬件,开发|测试|运维类,"年终分红,带薪年假,年度旅游,岗位晋升",人工智能,北京
