,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
102,北京人大金仓信息技术股份有限公司,人大金仓,150-500人,不需要融资,朝阳区,DBA工程师,在校/应届,本科,6k-12k,技术提升 培训学习 团队拓展 体育活动,数据服务｜咨询,开发|测试|运维类,"技能培训,节日礼物,带薪年假,绩效奖金",运维,北京
103,杭州同花顺数据开发有限公司,同花顺,2000人以上,上市公司,余杭区,dba数据库工程师,不限,本科,15k-30k,大牛团队，业务前景,科技金融,开发|测试|运维类,"带薪年假,定期体检,免费班车,领导好",运维,杭州
104,北京瑞尼尔技术有限公司,瑞尼尔,50-150人,未融资,海淀区,数据库工程师,1-3年,本科,10k-20k,专业培训、晋升发展、五险一金、补贴、团队nice,数据服务,开发|测试|运维类,"技能培训,带薪年假,绩效奖金,岗位晋升",数据开发,北京
105,滴滴优点科技（深圳）有限公司,滴滴优点,50-150人,不需要融资,福田区,DBA,3-5年,本科,15k-25k,领导是大牛 发展空间大,旅游｜出行,开发|测试|运维类,"五险一金,加班补助,年终奖,股票期权",运维,深圳
106,上海卫瓴信息科技有限公司,卫瓴科技,15-50人,天使轮,浦东新区,数据库工程师,3-5年,本科,14k-20k,创业企业 发展无限,"IT技术服务｜咨询,营销服务｜咨询",开发|测试|运维类,,运维,上海
107,拉勾猎头,拉勾猎头,500-2000人,D轮及以上,天河区,技术中心-数据库运维工程师DBA,1-3年,本科,15k-25k,大厂、食堂,专业服务｜咨询,开发|测试|运维类,"一手内推信息,猎头专业服务,名企保面试,精准高效对接",运维,广州
108,科大讯飞股份有限公司,科大讯飞,2000人以上,上市公司,高新区,dba数据库工程师,不限,本科,15k-20k,上市公司,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,"绩效奖金,股票期权,专项奖金,年底双薪",运维,合肥
109,成都玛尔斯科技有限公司,成都玛尔斯科技有限公司,150-500人,未融资,高新区,dba,5-10年,本科,15k-30k,弹性打卡，五险一金，14薪,IT技术服务｜咨询,开发|测试|运维类,,运维,成都
110,深圳市林祺信息技术有限公司,深圳市林祺信息技术有限公司,15-50人,未融资,福田区,数据库工程师,3-5年,本科,12k-17k,薪资+年终奖,IT技术服务｜咨询,开发|测试|运维类,,数据开发,深圳
111,深圳金融科技研究院(中国人民银行金融科技研究院),中国人民银行金融科技研究院,150-500人,不需要融资,丰台区,DBA数据库工程师（北京/苏州/深圳）,3-5年,本科,40k-80k,发展空间大，福利好,金融业,开发|测试|运维类,,运维,北京
