,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
57,北京芯盾时代科技有限公司,Trusfort芯盾时代,150-500人,C轮,海淀区,大数据开发工程师,5-10年,本科,15k-25k,"五险一金,工作居住证,节日福利,出国旅游","软件服务｜咨询,智能硬件",开发|测试|运维类,"股票期权,内荐重奖,餐补话补,关爱假期",数据开发,北京
58,上海莉莉丝科技股份有限公司,莉莉丝游戏,500-2000人,不需要融资,闵行区,高级BI系统开发工程师,3-5年,本科,20k-35k,核心团队 大牛云集 领导好 发展空间大,游戏,开发|测试|运维类,"项目奖金,零食无限量,牛逼的同事,境外旅游",数据开发,上海
59,柏美迪康环境科技（上海）股份有限公司,柏美迪康上海,150-500人,上市公司,普陀区,大数据HBase高级开发工程师,不限,本科,25k-40k,高并发 大数据,能源｜矿产｜环保,开发|测试|运维类,"专精特新企业,大数据云计算,五险一金,年终奖金",数据开发,上海
60,秒针信息技术有限公司,明略科技集团,2000人以上,D轮及以上,朝阳区,Java大数据开发工程师,5-10年,本科,27k-35k,行业独角兽 大牛团队 绩效奖金 团建旅行,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"六险一金,年底双薪,绩效奖金,完成E轮融资",数据开发,北京
61,广州回头车信息科技有限公司,省省回头车,150-500人,A轮,雨花台区,bi工程师,1-3年,本科,15k-20k,战略级项目,"物流平台,生活服务",开发|测试|运维类,"五险一金,带薪年假,年度旅游,岗位晋升",数据开发,南京
62,秒针信息技术有限公司,明略科技集团,2000人以上,D轮及以上,雁塔区,大数据高级开发工程师(J12428),3-5年,本科,15k-20k,行业独角兽 大牛团队 绩效奖金 团建旅行,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"六险一金,年底双薪,绩效奖金,完成E轮融资",数据开发,西安
63,慧博云通科技股份有限公司,慧博云通,2000人以上,未融资,天河区,大数据开发工程师（Java）,3-5年,本科,13k-20k,弹性上班 大牛云集 不加班 技术氛围浓厚,IT技术服务｜咨询,开发|测试|运维类,,数据开发,广州
64,51JOB-成都贰拾叁网络科技有限公司,51JOB-成都贰拾叁网络科技有限公司,150-500人,不需要融资,崇州市,数据开发工程师,3-5年,大专,9k-14k,数据开发,其他,开发|测试|运维类,,数据开发,成都
65,我爱我家控股集团股份有限公司,我爱我家集团,2000人以上,上市公司,朝阳区,数据仓库开发工程师(J338349),3-5年,本科,15k-25k,上市公司,房地产｜建筑｜物业,开发|测试|运维类,,数据开发,北京
66,上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,大数据开发工程师,3-5年,大专,15k-20k,500强企业 制度规范 福利健全,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,数据开发,上海
67,阿里云计算有限公司,阿里云,2000人以上,上市公司,海淀区,资深大数据开发工程师,在校/应届,本科,30k-60k,五险一金 带薪年假,人工智能服务,开发|测试|运维类,"年底双薪,带薪年假,帅哥多,定期体检",数据开发,北京
68,北京码上赢网络科技有限公司,马上赢,50-150人,A轮,朝阳区,Python数据开发工程师,3-5年,本科,20k-35k,阿里大牛、零售大数据,数据服务｜咨询,开发|测试|运维类,"弹性工作,五险一金,阿里系,牛人多",后端开发,北京
69,北京蚂蜂窝网络科技有限公司,马蜂窝,500-2000人,D轮及以上,朝阳区,数据开发工程师 (MJ001124),3-5年,不限,15k-30k,补充医疗 团建 女员工关爱假 五险一金,旅游｜出行,开发|测试|运维类,"弹性工作,扁平管理,氛围好,年度体检",数据开发,北京
70,网易（杭州）网络有限公司,网易,2000人以上,上市公司,天河区,数据开发工程师,3-5年,本科,20k-40k,年终奖,"内容资讯,游戏,音频｜视频媒体",开发|测试|运维类,"节日礼物,技能培训,免费班车,带薪年假",数据开发,广州
71,北京世联互动网络有限公司成都分公司,NAVER China,2000人以上,上市公司,高新区,大数据开发工程师,3-5年,本科,11k-20k,技术氛围浓厚，薪酬福利优厚,信息检索,开发|测试|运维类,"节日礼物,带薪年假,绩效奖金,年度旅游",后端开发,成都
72,上海袋虎信息技术有限公司,心理壹点灵,150-500人,B轮,闵行区,大数据开发工程师,3-5年,本科,30k-35k,行业前景好 扁平管理 团队氛围好,"移动互联网,医疗丨健康",开发|测试|运维类,"弹性工作,美女多,牛人多,扁平管理",数据开发,上海
73,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,大数据开发工程师,5-10年,本科,35k-40k,"发展空间大,弹性工作制,领导Nice","工具类产品,在线教育",开发|测试|运维类,"五险一金,弹性工作,带薪年假,免费两餐",数据开发,北京
74,上海中通吉网络技术有限公司,中通快递,2000人以上,上市公司,青浦区,高级BI开发工程师,3-5年,本科,18k-35k,落地产品 大平台 多应用场景,物流｜运输,开发|测试|运维类,"绩效奖金,五险一金,带薪年假,免费班车",数据开发,上海
75,北京字节跳动科技有限公司,字节跳动,2000人以上,D轮及以上,海淀区,大数据开发工程师,3-5年,本科,25k-50k,"下午茶,健身瑜伽,六险一金,扁平管理","内容资讯,短视频",开发|测试|运维类,"扁平管理,弹性工作,就近租房补贴,六险一金",数据开发,北京
76,北京字节跳动科技有限公司,字节跳动,2000人以上,D轮及以上,海淀区,大数据开发工程师,1-3年,本科,18k-36k,弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，职业大牛，晋升空间，五险一金,"内容资讯,短视频",开发|测试|运维类,"扁平管理,弹性工作,就近租房补贴,六险一金",人工智能,北京
77,深信服科技股份有限公司,深信服科技集团,2000人以上,上市公司,南山区,大数据开发工程师,3-5年,本科,20k-40k,大牛多、福利好、晋升快,"人工智能服务,信息安全",开发|测试|运维类,"三餐全包,大牛超多,年终奖超多,大公司，稳定",数据开发,深圳
78,北京云保网络科技有限公司,椰子传媒,50-150人,不需要融资,朝阳区,大数据开发工程师,3-5年,不限,20k-30k,移动互联网广告行业，拥有TB级数据,营销服务｜咨询,开发|测试|运维类,"年底双薪,定期体检,公司氛围好",数据开发,北京
79,四川伊澳农业科技有限公司,伊澳科技,2000人以上,上市公司,朝阳区,资深数据开发工程师,5-10年,本科,35k-55k,外资企业 15-18薪,批发｜零售,开发|测试|运维类,"专项奖金,股票期权,绩效奖金,年终分红",数据开发,北京
80,深圳万顺叫车云信息技术有限公司,万顺叫车,150-500人,未融资,宝安区,高级大数据开发工程师,5-10年,本科,22k-30k,带薪年假，车贴，五险一金，餐补，团建,"生活服务,旅游｜出行",开发|测试|运维类,"团建津贴,氛围好,非外包,提供住宿",后端开发,深圳
81,上海英方软件股份有限公司,英方,150-500人,上市公司,闵行区,中高级JAVA开发工程师（灾备容灾大数据虚拟化脱敏）,5-10年,本科,24k-48k,发展迅速，股票期权，全员双休，行业领先,"信息安全,数据服务",开发|测试|运维类,"股票期权,带薪年假,美女多,五险一金",后端开发,上海
82,上海英方软件股份有限公司,英方,150-500人,上市公司,闵行区,初中级JAVA开发工程师（灾备大数据虚拟化脱敏容灾）,3-5年,本科,12k-24k,发展快速，自有研发专利，全员双休,"信息安全,数据服务",开发|测试|运维类,"股票期权,带薪年假,美女多,五险一金",后端开发,上海
83,北京中科智加科技有限公司,中科智加,50-150人,不需要融资,海淀区,大数据工程师,不限,硕士,13k-26k,深入接触业界最前沿人工智能核心技术,"人工智能服务,数据服务｜咨询",开发|测试|运维类,,数据开发,北京
84,深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,福田区,大数据开发工程师,3-5年,本科,10k-20k,项目发展良好，发展前景良好,科技金融,开发|测试|运维类,,数据开发,深圳
85,北京瞰微智视科技有限公司,Conviva,150-500人,D轮及以上,朝阳区,高级大数据开发工程师,3-5年,本科,30k-50k,外企福利， 硅谷文化，午餐免费，六险一金,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"带薪年假,交通补助,午餐补助,绩效奖金",数据开发,北京
